Codi_Districte,Descripcio_Us,Nom_Districte,Nom_Barri,Total_Quota_Ajuntament,Codi_Barri,Codi_Us,_id
1,"BICE-PORTS,AEROPORTS",Ciutat Vella,el Raval,1670380.03,1,4,1
1,COMERÇ,Ciutat Vella,el Raval,1874696.74,1,C,2
1,CULTURAL,Ciutat Vella,el Raval,443655.36,1,E,3
1,TURISME,Ciutat Vella,el Raval,3158336.58,1,G,4
1,INDUSTRIAL,Ciutat Vella,el Raval,3553.53,1,I,5
1,ESPORTIU,Ciutat Vella,el Raval,8140.17,1,K,6
1,SOLARS,Ciutat Vella,el Raval,23645.64,1,M,7
1,OFICINA,Ciutat Vella,el Raval,520634.81,1,O,8
1,PUBLIC,Ciutat Vella,el Raval,216462.09,1,P,9
1,RELIGIOS,Ciutat Vella,el Raval,13031.11,1,R,10
1,INDUSTRIAL APARCAMENT,Ciutat Vella,el Raval,116381.69,1,S,11
1,ESPECTACLES,Ciutat Vella,el Raval,103463.74,1,T,12
1,RESIDENCIAL APARCAMENT,Ciutat Vella,el Raval,270482.08,1,U,13
1,RESIDENCIAL,Ciutat Vella,el Raval,8261453.71,1,V,14
1,SANITAT,Ciutat Vella,el Raval,19621.07,1,Y,15
1,"BICE-PORTS,AEROPORTS",Ciutat Vella,el Barri Gòtic,833030.96,2,4,16
1,COMERÇ,Ciutat Vella,el Barri Gòtic,5710977.62,2,C,17
1,CULTURAL,Ciutat Vella,el Barri Gòtic,184763.54,2,E,18
1,TURISME,Ciutat Vella,el Barri Gòtic,3101474.82,2,G,19
1,INDUSTRIAL,Ciutat Vella,el Barri Gòtic,205.02,2,I,20
1,ESPORTIU,Ciutat Vella,el Barri Gòtic,659.63,2,K,21
1,SOLARS,Ciutat Vella,el Barri Gòtic,3985.83,2,M,22
1,OFICINA,Ciutat Vella,el Barri Gòtic,2206675.64,2,O,23
1,PUBLIC,Ciutat Vella,el Barri Gòtic,1044945.71,2,P,24
1,INDUSTRIAL APARCAMENT,Ciutat Vella,el Barri Gòtic,129852.49,2,S,25
1,ESPECTACLES,Ciutat Vella,el Barri Gòtic,25798.42,2,T,26
1,RESIDENCIAL APARCAMENT,Ciutat Vella,el Barri Gòtic,64553.20,2,U,27
1,RESIDENCIAL,Ciutat Vella,el Barri Gòtic,6522666.35,2,V,28
1,SANITAT,Ciutat Vella,el Barri Gòtic,31260.65,2,Y,29
1,"BICE-PORTS,AEROPORTS",Ciutat Vella,la Barceloneta,2132279.41,3,4,30
1,COMERÇ,Ciutat Vella,la Barceloneta,614342.32,3,C,31
1,CULTURAL,Ciutat Vella,la Barceloneta,70023.36,3,E,32
1,TURISME,Ciutat Vella,la Barceloneta,1663727.27,3,G,33
1,INDUSTRIAL,Ciutat Vella,la Barceloneta,997.98,3,I,34
1,ESPORTIU,Ciutat Vella,la Barceloneta,260.16,3,K,35
1,SOLARS,Ciutat Vella,la Barceloneta,4610.12,3,M,36
1,OFICINA,Ciutat Vella,la Barceloneta,933123.28,3,O,37
1,RELIGIOS,Ciutat Vella,la Barceloneta,2920.34,3,R,38
1,INDUSTRIAL APARCAMENT,Ciutat Vella,la Barceloneta,158885.11,3,S,39
1,RESIDENCIAL APARCAMENT,Ciutat Vella,la Barceloneta,51742.38,3,U,40
1,RESIDENCIAL,Ciutat Vella,la Barceloneta,3265966.76,3,V,41
1,SANITAT,Ciutat Vella,la Barceloneta,56543.53,3,Y,42
1,COMERÇ,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,1014230.35,4,C,43
1,CULTURAL,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,126149.39,4,E,44
1,TURISME,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,808904.89,4,G,45
1,INDUSTRIAL,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,11351.12,4,I,46
1,ESPORTIU,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,872.96,4,K,47
1,SOLARS,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,18864.49,4,M,48
1,OFICINA,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,1267062.73,4,O,49
1,PUBLIC,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,379782.90,4,P,50
1,RELIGIOS,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,2465.62,4,R,51
1,INDUSTRIAL APARCAMENT,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,124244.34,4,S,52
1,ESPECTACLES,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,28272.97,4,T,53
1,RESIDENCIAL APARCAMENT,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,161817.55,4,U,54
1,RESIDENCIAL,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,6856529.40,4,V,55
1,SANITAT,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,8933.54,4,Y,56
2,COMERÇ,Eixample,el Fort Pienc,945394.42,5,C,57
2,CULTURAL,Eixample,el Fort Pienc,66423.07,5,E,58
2,TURISME,Eixample,el Fort Pienc,661501.02,5,G,59
2,INDUSTRIAL,Eixample,el Fort Pienc,31506.77,5,I,60
2,ESPORTIU,Eixample,el Fort Pienc,74178.77,5,K,61
2,SOLARS,Eixample,el Fort Pienc,3660.84,5,M,62
2,OFICINA,Eixample,el Fort Pienc,1533288.55,5,O,63
2,INDUSTRIAL APARCAMENT,Eixample,el Fort Pienc,50009.36,5,S,64
2,ESPECTACLES,Eixample,el Fort Pienc,505566.09,5,T,65
2,RESIDENCIAL APARCAMENT,Eixample,el Fort Pienc,580259.61,5,U,66
2,RESIDENCIAL,Eixample,el Fort Pienc,9761533.10,5,V,67
2,SANITAT,Eixample,el Fort Pienc,1345.05,5,Y,68
2,COMERÇ,Eixample,la Sagrada Família,1855203.78,6,C,69
2,CULTURAL,Eixample,la Sagrada Família,73433.65,6,E,70
2,TURISME,Eixample,la Sagrada Família,534978.40,6,G,71
2,INDUSTRIAL,Eixample,la Sagrada Família,24091.29,6,I,72
2,ESPORTIU,Eixample,la Sagrada Família,57543.18,6,K,73
2,SOLARS,Eixample,la Sagrada Família,12053.01,6,M,74
2,OFICINA,Eixample,la Sagrada Família,550374.43,6,O,75
2,PUBLIC,Eixample,la Sagrada Família,11738.76,6,P,76
2,RELIGIOS,Eixample,la Sagrada Família,4431.07,6,R,77
2,INDUSTRIAL APARCAMENT,Eixample,la Sagrada Família,16227.44,6,S,78
2,ESPECTACLES,Eixample,la Sagrada Família,140544.79,6,T,79
2,RESIDENCIAL APARCAMENT,Eixample,la Sagrada Família,924196.16,6,U,80
2,RESIDENCIAL,Eixample,la Sagrada Família,14714056.29,6,V,81
2,SANITAT,Eixample,la Sagrada Família,429711.95,6,Y,82
2,COMERÇ,Eixample,la Dreta de l'Eixample,15657947.39,7,C,83
2,CULTURAL,Eixample,la Dreta de l'Eixample,197440.40,7,E,84
2,TURISME,Eixample,la Dreta de l'Eixample,11150226.07,7,G,85
2,INDUSTRIAL,Eixample,la Dreta de l'Eixample,16198.93,7,I,86
2,ESPORTIU,Eixample,la Dreta de l'Eixample,39517.68,7,K,87
2,SOLARS,Eixample,la Dreta de l'Eixample,68953.17,7,M,88
2,OFICINA,Eixample,la Dreta de l'Eixample,15658897.27,7,O,89
2,PUBLIC,Eixample,la Dreta de l'Eixample,1044917.30,7,P,90
2,INDUSTRIAL APARCAMENT,Eixample,la Dreta de l'Eixample,1097028.16,7,S,91
2,ESPECTACLES,Eixample,la Dreta de l'Eixample,131299.23,7,T,92
